Fiscal Year,Source File Date,Source File,Facility Name,City,State,AOR,Type Detailed,Avg Length of Stay (days),Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,Total Detained Population,Last Inspection Type,Last Inspection End Date,Last Inspection Standard,Last Final Rating
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,HANCOCK COUNTY PUBLIC SAFETY COMPLEX,BAY ST. LOUIS,MS,NOL,IGSA,2,3,7,0,0,10,ODO,2024-05-09,NDS 2019,Fail
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Hancock Co Pub SFTY CPLX,Bay St. Louis,MS,NOL,IGSA,3,2,7,0,0,9,ORSA,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Hancock Co Pub Sfty Cplx,Bay St. Louis,MS,NOL,IGSA,2,3,4,0,0,7,ORSA,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Hancock Co Pub Sfty Cplx,Bay St. Louis,MS,NOL,IGSA,2,3,3,0,0,6,ORSA,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Hancock County Public Safety Complex,Bay St. Louis,MS,NOL,IGSA,3,3,6,0,0,9,ORSA,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Hancock County Public Safety Complex,Bay St. Louis,MS,NOL,IGSA,3,3,6,0,0,9,ORSA,,,
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,MADISON COUNTY JAIL,CANTON,MS,NOL,USMS IGA,2,2,0,0,0,2,ODO,2023-08-24,NDS 2000,Fail
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,MADISON COUNTY JAIL,CANTON,MS,NOL,USMS IGA,2,2,0,0,0,2,ODO,2023-08-24,NDS 2000,Fail
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,MADISON COUNTY JAIL,CANTON,MS,NOL,USMS IGA,2,2,0,0,0,2,ODO,2023-08-24,NDS 2000,Fail
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Madison County Jail,Canton,MS,NOL,USMS IGA,3,3,0,0,0,3,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Madison County Jail,Canton,MS,NOL,USMS IGA,3,2,0,0,0,2,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Madison County Jail,Canton,MS,NOL,USMS IGA,3,3,0,0,0,3,ODO,,,
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,YELLOWSTONE COUNTY JAIL,BILLINGS,MT,SLC,USMS IGA,2,0,0,0,0,0,,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,IGSA,5,17,4,0,0,21,ODO,2023-09-28,NDS 2019,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,IGSA,5,18,4,0,0,22,ODO,2024-04-04,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,IGSA,5,17,4,0,0,21,ODO,2024-04-04,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,IGSA,5,17,4,0,0,21,ODO,2024-04-04,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,IGSA,5,17,4,0,0,21,ODO,2024-04-04,NDS 2019,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,IGSA,5,21,3,0,0,24,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Alamance County Detention Facility,Graham,NC,ATL,IGSA,5,18,4,0,0,22,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Alamance County Detention Facility,Graham,NC,ATL,IGSA,5,17,4,0,0,21,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Alamance County Detention Facility,Graham,NC,ATL,IGSA,5,17,4,0,0,21,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Alamance County Detention Facility,Graham,NC,ATL,IGSA,5,17,4,0,0,21,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Alamance County Detention Facility,Graham,NC,ATL,IGSA,5,19,4,0,0,23,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,New Hanover County Jail,Castle Hayne,NC,ATL,USMS IGA,2,0,0,0,0,0,ODO,,,
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,GRAND FORKS COUNTY CORRECTIONAL FACILITY,GRAND FORKS,ND,SPM,USMS IGA,2,0,0,0,0,0,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Grand Forks County Correctional Facility,Grand Forks,ND,SPM,USMS IGA,2,0,0,0,0,0,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Dakota County Jail,Dakota City,NE,SPM,USMS IGA,2,0,0,0,0,0,*,,,
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,HALL COUNTY DEPARTMENT OF CORRECTIONS,GRAND ISLAND,NE,SPM,IGSA,39,6,1,0,0,7,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,USMS IGA,57,11,1,1,0,13,ODO,2024-05-21,NDS 2019,Pending Final Report
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,USMS IGA,56,12,1,1,0,14,ODO,2024-05-21,NDS 2019,Pending Final Report
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,USMS IGA,61,12,1,1,0,14,ODO,2024-05-23,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,USMS IGA,60,13,1,1,0,15,ODO,2024-05-23,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,USMS IGA,58,13,1,1,0,15,ODO,2024-05-23,NDS 2019,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,USMS IGA,72,4,1,0,0,5,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Phelps County Jail,Holdrege,NE,SPM,USMS IGA,72,5,1,0,0,6,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Phelps County Jail,Holdrege,NE,SPM,USMS IGA,57,8,1,1,0,10,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Phelps County Jail,Holdrege,NE,SPM,USMS IGA,52,9,0,1,0,10,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Phelps County Jail,Holdrege,NE,SPM,USMS IGA,51,10,1,1,0,12,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Phelps County Jail,Holdrege,NE,SPM,USMS IGA,99,4,1,0,0,5,ODO,,,
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,STRAFFORD CO DEPT OF CORR,DOVER,NH,BOS,IGSA,74,40,31,7,4,82,ODO,2024-03-28,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,STRAFFORD CO DEPT OF CORR,DOVER,NH,BOS,IGSA,77,40,31,7,4,82,ODO,2024-03-28,NDS 2019,Pass
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,STRAFFORD COUNTY CORRECTIONS,DOVER,NH,BOS,IGSA,70,40,31,6,4,81,ODO,2024-03-28,NDS 2019,Pending Final Report
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,STRAFFORD COUNTY CORRECTIONS,DOVER,NH,BOS,IGSA,85,39,31,7,4,81,ODO,2024-03-28,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,STRAFFORD COUNTY CORRECTIONS,DOVER,NH,BOS,IGSA,85,39,31,7,4,81,ODO,2024-03-28,NDS 2019,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,STRAFFORD COUNTY CORRECTIONS,DOVER,NH,BOS,IGSA,61,34,30,6,3,73,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Strafford County Corrections,Dover,NH,BOS,IGSA,72,36,30,7,3,76,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Strafford County Corrections,Dover,NH,BOS,IGSA,78,37,29,6,3,75,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Strafford County Corrections,Dover,NH,BOS,IGSA,68,39,30,6,4,79,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Strafford County Corrections,Dover,NH,BOS,IGSA,71,40,30,6,4,80,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Strafford County Corrections,Dover,NH,BOS,IGSA,56,35,31,6,3,75,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,ELIZABETH CONTRACT D.F.,ELIZABETH,NJ,NEW,CDF,17,33,178,2,13,226,ODO,2023-11-30,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,NEW,CDF,17,34,180,2,13,229,ODO,2023-11-30,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,NEW,CDF,17,36,182,2,13,233,ODO,2024-05-23,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,NEW,CDF,17,37,184,2,14,237,ODO,2024-05-23,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,NEW,CDF,17,37,185,2,14,238,ODO,2023-11-30,PBNDS 2011 - 2016 Revised,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,NEW,CDF,19,37,171,1,9,218,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Elizabeth Contract D.F.,Elizabeth,NJ,NEW,CDF,18,33,175,2,11,221,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Elizabeth Contract D.F.,Elizabeth,NJ,NEW,CDF,17,32,170,2,12,216,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Elizabeth Contract D.F.,Elizabeth,NJ,NEW,CDF,18,32,175,2,13,222,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Elizabeth Contract D.f.,Elizabeth,NJ,NEW,CDF,19,35,170,1,10,216,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Elizabeth Contract Detention Facility,Elizabeth,NJ,NEW,CDF,17,32,173,2,13,220,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,IGSA,43,6,178,0,0,184,ODO,2024-02-29,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,IGSA,46,6,174,0,0,180,ODO,2024-02-29,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,IGSA,45,6,169,0,0,175,ODO,2024-02-29,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,IGSA,42,7,176,0,0,183,ODO,2024-08-22,PBNDS 2011 - 2016 Revised,Pending Final Report
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,IGSA,41,7,179,0,0,186,ODO,2024-02-29,PBNDS 2011 - 2016 Revised,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,IGSA,22,9,111,0,0,120,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Cibola County Correctional Center,Milan,NM,ELP,IGSA,25,9,140,0,0,149,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Cibola County Correctional Center,Milan,NM,ELP,IGSA,29,7,147,0,0,154,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Cibola County Correctional Center,Milan,NM,ELP,IGSA,30,7,164,0,0,171,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Cibola County Correctional Center,Milan,NM,ELP,IGSA,33,6,176,0,0,182,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Cibola County Correctional Center,Milan,NM,ELP,IGSA,24,10,135,0,0,145,ODO,,,
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,OTERO CO PROCESSING CENTER,CHAPARRAL,NM,ELP,DIGSA,28,98,604,4,165,871,ODO,2023-11-16,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,OTERO CO PROCESSING CENTER,CHAPARRAL,NM,ELP,DIGSA,27,98,596,5,166,865,ODO,2024-05-23,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,ELP,DIGSA,28,99,611,4,166,880,ODO,2023-11-16,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,ELP,DIGSA,27,98,589,5,168,860,ODO,2024-05-23,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,ELP,DIGSA,27,96,585,5,169,855,ODO,2023-11-16,PBNDS 2011 - 2016 Revised,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,ELP,DIGSA,58,76,675,3,158,912,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Otero County Detention,Alamogordo,NM,ELP,USMS IGA,7,0,1,0,0,1,*,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Otero County Processing Center,Chaparral,NM,ELP,DIGSA,57,86,662,3,174,925,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Otero County Processing Center,Chaparral,NM,ELP,DIGSA,45,92,636,3,173,904,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Otero County Processing Center,Chaparral,NM,ELP,DIGSA,36,99,629,4,173,905,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Otero County Processing Center,Chaparral,NM,ELP,DIGSA,31,101,623,4,170,898,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Otero County Processing Center,Chaparral,NM,ELP,DIGSA,55,88,673,3,169,933,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,ELP,IGSA,35,7,339,0,0,346,ODO,2023-10-19,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,ELP,IGSA,35,9,331,0,0,340,ODO,2023-10-19,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,ELP,IGSA,35,13,329,0,0,342,ODO,2023-10-19,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,ELP,IGSA,34,15,308,0,0,323,ODO,2024-02-29,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,ELP,IGSA,34,16,301,0,0,317,ODO,2023-10-19,PBNDS 2011 - 2016 Revised,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,ELP,IGSA,31,3,373,0,0,376,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,"Torrance/Estancia, NM",Estancia,NM,ELP,IGSA,36,2,386,0,0,388,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,"Torrance/Estancia, NM",Estancia,NM,ELP,IGSA,39,4,369,0,0,373,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,"Torrance/Estancia, NM",Estancia,NM,ELP,IGSA,37,5,363,0,0,368,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,"Torrance/Estancia, NM",Estancia,NM,ELP,IGSA,37,5,357,0,0,362,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,"Torrance/estancia, Nm",Estancia,NM,ELP,IGSA,33,2,400,0,0,402,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,HENDERSON DETENTION,HENDERSON,NV,SLC,USMS IGA,37,41,15,10,4,70,ODO,2024-03-21,NDS 2000,Pending Final Report
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,HENDERSON DETENTION,HENDERSON,NV,SLC,USMS IGA,36,42,15,10,4,71,ODO,2024-03-21,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,HENDERSON DETENTION,HENDERSON,NV,SLC,USMS IGA,36,42,14,10,4,70,ODO,2024-03-21,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,HENDERSON DETENTION,HENDERSON,NV,SLC,USMS IGA,37,43,13,10,3,69,ODO,2024-03-21,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,HENDERSON DETENTION,HENDERSON,NV,SLC,USMS IGA,36,43,12,10,3,68,ODO,2024-03-21,NDS 2019,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,HENDERSON DETENTION,HENDERSON,NV,SLC,USMS IGA,48,37,13,11,3,64,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Henderson Detention,Henderson,NV,SLC,USMS IGA,38,38,15,10,3,66,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Henderson Detention,Henderson,NV,SLC,USMS IGA,35,41,15,9,3,68,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Henderson Detention,Henderson,NV,SLC,USMS IGA,35,42,15,9,3,69,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Henderson Detention,Henderson,NV,SLC,USMS IGA,37,41,15,9,3,68,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Henderson Detention,Henderson,NV,SLC,USMS IGA,42,38,15,11,3,67,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,USMS CDF,43,113,101,0,0,214,ODO,2024-03-21,PBNDS 2008,Pending Final Report
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,USMS CDF,43,117,99,0,0,216,ODO,2024-03-21,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,USMS CDF,42,119,97,0,0,216,ODO,2024-03-21,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,USMS CDF,42,122,94,0,0,216,ODO,2024-03-21,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,USMS CDF,42,122,94,0,0,216,ODO,2024-03-21,NDS 2019,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,USMS CDF,39,113,87,0,0,200,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,NYE COUNTY SHERIFF-PAHRUMP,PAHRUMP,NV,SLC,IGSA,42,61,10,0,0,71,ODO,2023-10-26,NDS 2019,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,NYE COUNTY SHERIFF-PAHRUMP,PAHRUMP,NV,SLC,IGSA,40,61,10,0,0,71,ODO,2023-10-26,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,NYE COUNTY SHERIFF-PAHRUMP,PAHRUMP,NV,SLC,IGSA,39,61,11,0,0,72,ODO,2023-10-26,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,NYE COUNTY SHERIFF-PAHRUMP,PAHRUMP,NV,SLC,IGSA,38,61,11,0,0,72,ODO,2024-05-09,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,NYE COUNTY SHERIFF-PAHRUMP,PAHRUMP,NV,SLC,IGSA,37,61,12,0,0,73,ODO,2023-10-26,NDS 2019,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,NYE COUNTY SHERIFF-PAHRUMP,PAHRUMP,NV,SLC,USMS CDF,35,65,9,0,0,74,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Nevada Southern Detention Center,Pahrump,NV,SLC,USMS CDF,39,109,97,0,0,206,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Nevada Southern Detention Center,Pahrump,NV,SLC,USMS CDF,42,105,110,0,0,215,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Nevada Southern Detention Center,Pahrump,NV,SLC,USMS CDF,44,105,112,0,0,217,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Nevada Southern Detention Center,Pahrump,NV,SLC,USMS CDF,45,109,106,0,0,215,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Nevada Southern Detention Center,Pahrump,NV,SLC,USMS CDF,40,114,83,0,0,197,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Nye County Sheriff-Pahrump,Pahrump,NV,SLC,IGSA,47,63,9,0,0,72,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Nye County Sheriff-Pahrump,Pahrump,NV,SLC,IGSA,45,61,9,0,0,70,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Nye County Sheriff-Pahrump,Pahrump,NV,SLC,IGSA,45,60,9,0,0,69,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Nye County Sheriff-Pahrump,Pahrump,NV,SLC,IGSA,43,60,9,0,0,69,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Nye County Sheriff-pahrump,Pahrump,NV,SLC,USMS CDF,38,66,8,0,0,74,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,WASHOE COUNTY JAIL,RENO,NV,SLC,USMS IGA,9,11,1,0,0,12,ODO,2023-11-02,NDS 2019,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,WASHOE COUNTY JAIL,RENO,NV,SLC,USMS IGA,9,12,1,0,0,13,ODO,2023-11-02,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,WASHOE COUNTY JAIL,RENO,NV,SLC,USMS IGA,10,12,1,0,0,13,ODO,2023-11-02,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,WASHOE COUNTY JAIL,RENO,NV,SLC,USMS IGA,11,12,1,0,0,13,ODO,2024-04-25,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,WASHOE COUNTY JAIL,RENO,NV,SLC,USMS IGA,11,11,1,0,0,12,ODO,2023-11-02,NDS 2019,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,WASHOE COUNTY JAIL,RENO,NV,SLC,USMS IGA,13,9,1,0,0,10,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Washoe County Jail,Reno,NV,SLC,USMS IGA,11,9,1,0,0,10,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Washoe County Jail,Reno,NV,SLC,USMS IGA,10,10,1,0,0,11,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Washoe County Jail,Reno,NV,SLC,USMS IGA,9,11,1,0,0,12,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Washoe County Jail,Reno,NV,SLC,USMS IGA,10,11,1,0,0,12,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Washoe County Jail,Reno,NV,SLC,USMS IGA,12,9,1,0,0,10,ODO,,,
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,BUFFALO SERVICE PROCESSING CENTER,BATAVIA,NY,BUF,SPC,61,249,302,0,0,551,ODO,2024-05-09,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,BUFFALO SERVICE PROCESSING CENTER,BATAVIA,NY,BUF,SPC,60,249,301,0,0,550,ODO,2023-10-26,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,BUFFALO SPC,BATAVIA,NY,BUF,SPC,60,249,288,0,0,537,ODO,2023-10-26,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,BUFFALO SPC,BATAVIA,NY,BUF,SPC,60,250,292,0,0,542,ODO,2023-10-26,PBNDS 2011 - 2016 Revised,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,BUFFALO SPC,BATAVIA,NY,BUF,SPC,61,250,295,0,0,545,ODO,2023-10-26,PBNDS 2011 - 2016 Revised,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,BUFFALO SPC,BATAVIA,NY,BUF,SPC,55,238,263,0,0,501,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Buffalo SPC,Batavia,NY,BUF,SPC,50,246,268,0,0,514,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Buffalo SPC,Batavia,NY,BUF,SPC,54,249,269,0,0,518,ODO,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Buffalo SPC,Batavia,NY,BUF,SPC,56,250,274,0,0,524,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Buffalo SPC,Batavia,NY,BUF,SPC,58,249,280,0,0,529,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Buffalo Spc,Batavia,NY,BUF,SPC,52,244,273,0,0,517,ODO,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,CLINTON COUNTY JAIL,PLATTSBURGH,NY,BUF,USMS IGA,5,1,1,1,0,3,ODO,2022-10-27,NDS 2000,Pass
