Fiscal Year,Source File Date,Source File,Sheet Used,Release Reason,Criminality,Month,Count,IsSheetTotal,Level,ParentReason
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Total,Apr,5345,False,Reason Total,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Convicted Criminal,Apr,65,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Pending Criminal Charges,Apr,60,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Other Immigration Violator,Apr,5220,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Total,Apr,97,False,Reason Total,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Convicted Criminal,Apr,23,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Pending Criminal Charges,Apr,10,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Other Immigration Violator,Apr,64,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Total,Apr,13720,False,Reason Total,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Convicted Criminal,Apr,4930,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Pending Criminal Charges,Apr,1288,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Other Immigration Violator,Apr,7502,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Total,Apr,118,False,Reason Total,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Convicted Criminal,Apr,44,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Pending Criminal Charges,Apr,8,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Other Immigration Violator,Apr,66,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Total,Apr,590,False,Reason Total,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Convicted Criminal,Apr,359,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Pending Criminal Charges,Apr,127,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Other Immigration Violator,Apr,104,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Total,Apr,28,False,Reason Total,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Convicted Criminal,Apr,9,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Pending Criminal Charges,Apr,2,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Other Immigration Violator,Apr,17,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Total,Apr,2,False,Reason Total,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Convicted Criminal,Apr,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Pending Criminal Charges,Apr,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Other Immigration Violator,Apr,2,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Total,None,May,25952,False,Criminality Detail,Total
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Total,May,1021,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Convicted Criminal,May,239,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Pending Criminal Charges,May,275,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Other Immigration Violator,May,507,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Total,May,335,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Convicted Criminal,May,49,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Pending Criminal Charges,May,60,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Other Immigration Violator,May,226,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Total,May,686,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Convicted Criminal,May,190,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Pending Criminal Charges,May,215,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Other Immigration Violator,May,281,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Total,May,1748,False,Reason Total,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Convicted Criminal,May,174,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Pending Criminal Charges,May,366,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Other Immigration Violator,May,1208,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Total,May,1060,False,Reason Total,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Convicted Criminal,May,230,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Pending Criminal Charges,May,120,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Other Immigration Violator,May,710,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Total,May,4785,False,Reason Total,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Convicted Criminal,May,25,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Pending Criminal Charges,May,72,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Other Immigration Violator,May,4688,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Total,May,191,False,Reason Total,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Convicted Criminal,May,37,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Pending Criminal Charges,May,18,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Other Immigration Violator,May,136,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Total,May,16327,False,Reason Total,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Convicted Criminal,May,5082,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Pending Criminal Charges,May,1435,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Other Immigration Violator,May,9810,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Total,May,142,False,Reason Total,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Convicted Criminal,May,53,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Pending Criminal Charges,May,10,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Other Immigration Violator,May,79,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Total,May,632,False,Reason Total,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Convicted Criminal,May,329,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Pending Criminal Charges,May,224,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Other Immigration Violator,May,79,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Total,May,40,False,Reason Total,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Convicted Criminal,May,6,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Pending Criminal Charges,May,20,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Other Immigration Violator,May,14,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Total,May,6,False,Reason Total,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Convicted Criminal,May,2,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Pending Criminal Charges,May,3,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Other Immigration Violator,May,1,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Total,None,Jun,23738,False,Criminality Detail,Total
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Total,Jun,885,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Convicted Criminal,Jun,223,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Pending Criminal Charges,Jun,279,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Other Immigration Violator,Jun,383,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Total,Jun,154,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Convicted Criminal,Jun,25,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Pending Criminal Charges,Jun,40,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Other Immigration Violator,Jun,89,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Total,Jun,731,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Convicted Criminal,Jun,198,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Pending Criminal Charges,Jun,239,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Other Immigration Violator,Jun,294,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Total,Jun,1735,False,Reason Total,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Convicted Criminal,Jun,153,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Pending Criminal Charges,Jun,348,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Other Immigration Violator,Jun,1234,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Total,Jun,796,False,Reason Total,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Convicted Criminal,Jun,167,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Pending Criminal Charges,Jun,102,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Other Immigration Violator,Jun,527,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Total,Jun,4213,False,Reason Total,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Convicted Criminal,Jun,30,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Pending Criminal Charges,Jun,60,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Other Immigration Violator,Jun,4123,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Total,Jun,161,False,Reason Total,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Convicted Criminal,Jun,19,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Pending Criminal Charges,Jun,11,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Other Immigration Violator,Jun,131,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Total,Jun,15371,False,Reason Total,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Convicted Criminal,Jun,4506,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Pending Criminal Charges,Jun,1300,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Other Immigration Violator,Jun,9565,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Total,Jun,114,False,Reason Total,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Convicted Criminal,Jun,42,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Pending Criminal Charges,Jun,16,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Other Immigration Violator,Jun,56,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Total,Jun,416,False,Reason Total,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Convicted Criminal,Jun,270,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Pending Criminal Charges,Jun,99,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Other Immigration Violator,Jun,47,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Total,Jun,44,False,Reason Total,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Convicted Criminal,Jun,19,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Pending Criminal Charges,Jun,7,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Other Immigration Violator,Jun,18,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Total,Jun,3,False,Reason Total,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Convicted Criminal,Jun,1,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Pending Criminal Charges,Jun,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Other Immigration Violator,Jun,2,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Total,None,Jul,24735,False,Criminality Detail,Total
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Total,Jul,968,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Convicted Criminal,Jul,241,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Pending Criminal Charges,Jul,290,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Other Immigration Violator,Jul,437,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Total,Jul,158,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Convicted Criminal,Jul,29,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Pending Criminal Charges,Jul,26,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Other Immigration Violator,Jul,103,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Total,Jul,810,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Convicted Criminal,Jul,212,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Pending Criminal Charges,Jul,264,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Other Immigration Violator,Jul,334,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Total,Jul,1878,False,Reason Total,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Convicted Criminal,Jul,159,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Pending Criminal Charges,Jul,254,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Other Immigration Violator,Jul,1465,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Total,Jul,628,False,Reason Total,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Convicted Criminal,Jul,205,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Pending Criminal Charges,Jul,128,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Other Immigration Violator,Jul,295,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Total,Jul,4806,False,Reason Total,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Convicted Criminal,Jul,46,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Pending Criminal Charges,Jul,81,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Other Immigration Violator,Jul,4679,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Total,Jul,117,False,Reason Total,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Convicted Criminal,Jul,24,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Pending Criminal Charges,Jul,18,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Other Immigration Violator,Jul,75,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Total,Jul,15627,False,Reason Total,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Convicted Criminal,Jul,4930,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Pending Criminal Charges,Jul,1510,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Other Immigration Violator,Jul,9187,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Total,Jul,135,False,Reason Total,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Convicted Criminal,Jul,63,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Pending Criminal Charges,Jul,13,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Other Immigration Violator,Jul,59,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Total,Jul,549,False,Reason Total,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Convicted Criminal,Jul,361,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Pending Criminal Charges,Jul,125,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Other Immigration Violator,Jul,63,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Total,Jul,25,False,Reason Total,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Convicted Criminal,Jul,6,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Pending Criminal Charges,Jul,4,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Other Immigration Violator,Jul,15,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Total,Jul,2,False,Reason Total,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Convicted Criminal,Jul,1,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Pending Criminal Charges,Jul,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Other Immigration Violator,Jul,1,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Total,None,Aug,23652,False,Criminality Detail,Total
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Total,Aug,1046,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Convicted Criminal,Aug,240,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Pending Criminal Charges,Aug,343,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Other Immigration Violator,Aug,463,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Total,Aug,289,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Convicted Criminal,Aug,31,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Pending Criminal Charges,Aug,49,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Other Immigration Violator,Aug,209,False,Criminality Detail,Bonded Out
